codMicroRes,media,variancia,especie
16004,57.33796296296314,1600.308854639178,P. falciparum
17001,1.4074074074074243,3.8399420766752668,P. falciparum
17002,1.5879629629629837,10.963399404328948,P. falciparum
17003,0.8379629629629606,2.979226248885742,P. falciparum
17004,0.6342592592592846,1.2578115731334687,P. falciparum
17005,0.08796296296296965,0.07912010533130828,P. falciparum
17006,0.5601851851851962,0.9739080286073619,P. falciparum
17007,0.004629629740546062,0.0045870660328762225,P. falciparum
17008,0.004629629768340645,0.00456824944765636,P. falciparum
21001,0.21296296296295592,0.3918150912276585,P. falciparum
21002,1.236111111111121,2.2995015778164882,P. falciparum
21003,0.1527777777777771,0.20972565143861957,P. falciparum
21004,0.1481481481481482,0.15594818290519896,P. falciparum
21005,21.467592592592663,794.3521317414401,P. falciparum
21006,1.314814814814854,17.420300831721377,P. falciparum
21007,22.078703703703734,1067.2991630715187,P. falciparum
21008,18.990740740740844,185.1867426138216,P. falciparum
21009,4.5740740740738675,18.992219624453394,P. falciparum
21010,8.375000000000309,128.27940973124888,P. falciparum
21011,2.643518518518537,7.440533329738501,P. falciparum
21012,3.8472222222222157,68.58831598717472,P. falciparum
21013,1.0370370370370035,1.375643317790332,P. falciparum
21014,0.7268518518518458,1.1224516753824032,P. falciparum
21015,2.842592592592626,61.29176506766642,P. falciparum
21016,0.09722222222221936,0.1690139941876276,P. falciparum
21017,2.6759259259259087,67.32066120064742,P. falciparum
21018,1.365740740740721,22.644986703697274,P. falciparum
21019,0.5138888888888699,2.5190570040021067,P. falciparum
21020,0.07870370370370143,0.10357464935750539,P. falciparum
21021,0.013888888888889735,0.013490822935746907,P. falciparum
51001,39.45833333333312,1870.6673960603923,P. falciparum
51002,2.726851851851858,10.12491416341482,P. falciparum
51003,4.236111111111035,20.319533115218224,P. falciparum
51004,0.9537037037037419,10.566231231327816,P. falciparum
51005,1.27777777777775,14.937186708889037,P. falciparum
51006,1.2222222225408088,35.24150770273179,P. falciparum
51007,1.1249999999999607,8.621642301959392,P. falciparum
51008,0.0231481481481471,0.021868058912727993,P. falciparum
51009,0.2777777777777959,0.9856201991051943,P. falciparum
51010,0.04629629629630275,0.04992224973014556,P. falciparum
51011,0.004629629752793406,0.00452547952878683,P. falciparum
51012,0.7546296296296334,5.210370225853833,P. falciparum
51013,0.31018518518517035,0.5247123444749497,P. falciparum
51014,0.13425925925925472,0.19461213305971437,P. falciparum
51015,0.027777777777778314,0.026989759440969163,P. falciparum
51016,0.04629629629629176,0.06740181740380718,P. falciparum
51017,1.1898148148148195,3.0702004581825117,P. falciparum
51018,0.11574074074075341,0.11227049906152198,P. falciparum
51019,0.05555555555554561,0.05689065721921857,P. falciparum
51020,0.01851851851851455,0.017755898703626198,P. falciparum
51021,0.162037037037017,0.1929024720016964,P. falciparum
51022,0.004629629680035902,0.0045648835604347945,P. falciparum
