covariavel,especie,raw_mediana,trend_mediana,seasonal_mediana,remainder_mediana,n_micro,cor_transversal
n_tp_62,P. vivax,-0.20766341284000833,-0.3209890278434119,NA,0.021922131696064964,22,-0.05108043072371025
n_tp_12,P. vivax,0.4775597976649514,0.5496387139911656,NA,0.025044528684592962,2,-0.04691756453222205
n_tp_60,P. falciparum,-0.2785376831941276,-0.32846155488875395,NA,0.013910645115518677,23,0.04201946735090369
n_tp_62,P. falciparum,-0.17312153763226373,-0.2273946859013558,NA,0.0018345783782531383,22,-0.040925385832413154
n_tp_60,P. vivax,-0.31342965360182534,-0.40959320076990746,NA,-0.03041784536413525,23,0.03709685572874688
n_tp_76,P. vivax,-0.4539515439581858,-0.6272184311683741,NA,-0.007134075175567736,36,-0.035184205766620506
n_tp_83,P. falciparum,-0.2341871299707894,-0.2835888433742148,NA,0.004920760787731541,32,0.03268256040161048
n_tp_42,P. falciparum,-0.3676479128738889,-0.5505361889638153,NA,0.006786849549382737,75,-0.031279066424627806
n_tp_12,P. falciparum,0.3067107628281413,0.3359925669305099,NA,0.19841600833994028,2,-0.0312783763548147
n_tp_76,P. falciparum,-0.4393574569795863,-0.608772488033954,NA,-0.001978761970156384,36,0.031274199203302835
n_tp_40,P. falciparum,-0.07906395976973045,-0.16484310611152705,NA,0.009559467433894268,84,-0.02811079879842038
n_tp_83,P. vivax,-0.258216913644272,-0.33422962932519895,NA,0.02335439737706972,32,0.02800843357129494
n_tp_84,P. falciparum,-0.13033207076731473,-0.14047728565949483,NA,0.016595048143221387,58,0.02739217484316156
n_tp_07,P. falciparum,0.09305463172389937,0.13229627919361742,NA,1.7881002134205112e-4,38,0.02148048875597803
n_tp_07,P. vivax,0.1403197182667571,0.1498059902704328,NA,-5.693926816001502e-5,38,-0.019850701081922464
n_tp_78,P. falciparum,-0.08942657112617178,-0.19776533780072325,NA,0.0038877944134777477,1,-0.018867924528301886
n_tp_80,P. vivax,-0.2734140882517283,-0.410469169480434,NA,0.005258473624625788,73,0.014834777805700155
n_tp_79,P. vivax,-0.2650517591551368,-0.3068238271617169,NA,-0.01960058053151169,3,-0.01336042633954372
n_tp_84,P. vivax,-0.14350011231879156,-0.16719526594322504,NA,-0.014381832761624613,58,-0.01193645764688762
n_tp_40,P. vivax,-0.0804762653142051,-0.1691221685431784,NA,0.007497452015746959,84,0.009916824098794647
n_tp_79,P. falciparum,-0.21795767482648423,-0.22181202847246856,NA,0.05956213328128871,3,-0.0023123814818441055
