especie,modelo,codMicroRes,nomeMicroRes,siglaUF,ano,mes,idMes,populacao,real_taxa,pred_taxa,residual,ci_low,ci_high,covered,test_start
P. vivax,paper_replica_corrigido,15001,Óbidos,PA,2020,1,205,211269,27.453152142529195,24.103869591739226,3.349282550789969,0,223.90093510491326,TRUE,205
P. vivax,paper_replica_corrigido,15001,Óbidos,PA,2020,2,206,211269,16.093227118034353,21.814648681391624,-5.721421563357271,0,210.36097990769042,TRUE,205
P. vivax,paper_replica_corrigido,15001,Óbidos,PA,2020,3,207,211269,14.19990628061855,21.844508044901183,-7.644601764282633,0,198.25822665877615,TRUE,205
P. vivax,paper_replica_corrigido,15002,Santarém,PA,2020,1,205,531849,37.22861188043974,39.41103138090457,-2.1824195004648246,10.186179480843103,509.3991172234,TRUE,205
P. vivax,paper_replica_corrigido,15002,Santarém,PA,2020,2,206,531849,30.459773356723428,35.66795996778245,-5.208186611059023,6.009545416426609,386.50391345747727,TRUE,205
P. vivax,paper_replica_corrigido,15002,Santarém,PA,2020,3,207,531849,48.88605600461785,35.716694070195175,13.169361934422675,5.378543147701816,333.04900697836257,TRUE,205
P. vivax,paper_replica_corrigido,15003,Almeirim,PA,2020,1,205,75877,15.8150691250313,70.02482473725614,-54.20975561222484,0,775.9065944322437,TRUE,205
P. vivax,paper_replica_corrigido,15003,Almeirim,PA,2020,2,206,75877,7.90753456251565,63.37434507538907,-55.46681051287342,0,717.3555539186266,TRUE,205
P. vivax,paper_replica_corrigido,15003,Almeirim,PA,2020,3,207,75877,13.179224270859418,63.4610578617864,-50.28183359092698,0,645.5357524253058,TRUE,205
P. vivax,paper_replica_corrigido,15004,Portel,PA,2020,1,205,155915,187.28153160375848,191.91856227559904,-4.637030671840563,44.89378108069498,2055.0692024382047,TRUE,205
P. vivax,paper_replica_corrigido,15004,Portel,PA,2020,2,206,155915,122.50264567232144,173.69109911094444,-51.188453438623,32.5941150311895,2694.856831446647,TRUE,205
P. vivax,paper_replica_corrigido,15004,Portel,PA,2020,3,207,155915,103.90276753359204,173.9284164186172,-70.02564888502515,40.793892397526484,1677.5719519354645,TRUE,205
P. vivax,paper_replica_corrigido,15005,Furos de Breves,PA,2020,1,205,234720,259.88411724608045,714.2984126486814,-454.41429540260094,208.27126433695278,7641.900941629258,TRUE,205
P. vivax,paper_replica_corrigido,15005,Furos de Breves,PA,2020,2,206,234720,205.35105657805047,646.4572837117894,-441.1062271337389,187.77775320082242,7333.817427041244,TRUE,205
P. vivax,paper_replica_corrigido,15005,Furos de Breves,PA,2020,3,207,234720,183.62304021813225,647.3400312540427,-463.7169910359105,161.83746169628532,6935.65778211071,TRUE,205
P. vivax,paper_replica_corrigido,15006,Arari,PA,2020,1,205,180421,16.62777614579234,48.380758387587626,-31.752982241795287,7.0860281678542405,542.6126069534381,TRUE,205
P. vivax,paper_replica_corrigido,15006,Arari,PA,2020,2,206,180421,15.519257736072852,43.78585690774182,-28.266599171668965,7.0860281678542405,559.3533484999931,TRUE,205
P. vivax,paper_replica_corrigido,15006,Arari,PA,2020,3,207,180421,7.759628868036426,43.845732682703066,-36.08610381466664,3.5430140839271207,376.622397121452,TRUE,205
P. vivax,paper_replica_corrigido,15007,Belém,PA,2020,1,205,2381117,0.9659332153774888,0.6584996244682022,0.30743359090928657,0.06194571707312162,7.203551946418424,TRUE,205
P. vivax,paper_replica_corrigido,15007,Belém,PA,2020,2,206,2381117,0.4199709632076038,0.5959589072160005,-0.17598794400839674,0.04199709632076038,5.757801905576245,TRUE,205
P. vivax,paper_replica_corrigido,15007,Belém,PA,2020,3,207,2381117,0.7139506374529265,0.5967735893452015,0.117177048107725,0.08399419264152076,5.742052994455955,TRUE,205
P. vivax,paper_replica_corrigido,15008,Castanhal,PA,2020,1,205,348294,0.5742275204281441,0.7001570356040849,-0.12592951517594086,0,8.929237942657615,TRUE,205
P. vivax,paper_replica_corrigido,15008,Castanhal,PA,2020,2,206,348294,0,0.6336635015938288,-0.6336635015938288,0,5.74227520428144,TRUE,205
P. vivax,paper_replica_corrigido,15008,Castanhal,PA,2020,3,207,348294,0,0.6345331810817111,-0.6345331810817111,0,6.467237448821965,TRUE,205
P. vivax,paper_replica_corrigido,15009,Salgado,PA,2020,1,205,273785,1.0957503150282155,17.69088830016613,-16.595137985137914,0,186.78427058785982,TRUE,205
P. vivax,paper_replica_corrigido,15009,Salgado,PA,2020,2,206,273785,0,16.010738473046388,-16.010738473046388,0,176.3360254518514,TRUE,205
P. vivax,paper_replica_corrigido,15009,Salgado,PA,2020,3,207,273785,0,16.032667164575127,-16.032667164575127,0,153.1047317974862,TRUE,205
P. vivax,paper_replica_corrigido,15010,Bragantina,PA,2020,1,205,427450,0.7018364721020003,1.5111596181319111,-0.8093231460299108,0,15.095332787460515,TRUE,205
P. vivax,paper_replica_corrigido,15010,Bragantina,PA,2020,2,206,427450,0,1.36764293412906,-1.36764293412906,0,16.276757515498872,TRUE,205
P. vivax,paper_replica_corrigido,15010,Bragantina,PA,2020,3,207,427450,0,1.3695175315902508,-1.3695175315902508,0,16.38788162358169,TRUE,205
P. vivax,paper_replica_corrigido,15011,Cametá,PA,2020,1,205,503601,73.86800264495106,39.816136563848445,34.05186608110262,8.885286185399762,441.2496585999416,TRUE,205
P. vivax,paper_replica_corrigido,15011,Cametá,PA,2020,2,206,503601,35.74258192497632,36.03461708416527,-0.2920351591889485,3.681047133951337,395.8712327245068,TRUE,205
P. vivax,paper_replica_corrigido,15011,Cametá,PA,2020,3,207,503601,33.756882929144304,36.083874162206854,-2.32699123306255,5.680236525666278,325.67747185984905,TRUE,205
P. vivax,paper_replica_corrigido,15012,Tomé-Açu,PA,2020,1,205,345631,0.2893258995865533,21.77203938670003,-21.482713487113475,0,216.57292970433997,TRUE,205
P. vivax,paper_replica_corrigido,15012,Tomé-Açu,PA,2020,2,206,345631,0.5786517991731066,19.704278845584092,-19.125627046410987,0,218.2374526482676,TRUE,205
P. vivax,paper_replica_corrigido,15012,Tomé-Açu,PA,2020,3,207,345631,1.4466294979327663,19.73124325631348,-18.284613758380715,0,177.54911401892957,TRUE,205
P. vivax,paper_replica_corrigido,15013,Guamá,PA,2020,1,205,488143,0.8194320107017821,28.87281823516678,-28.053386224464997,3.9285668996762126,330.81807101023304,FALSE,205
P. vivax,paper_replica_corrigido,15013,Guamá,PA,2020,2,206,488143,0.20485800267544552,26.13065793744832,-25.925799934772872,0,267.208025292977,TRUE,205
