especie,modelo,codMicroRes,nomeMicroRes,siglaUF,ano,mes,idMes,populacao,real_taxa,pred_taxa,residual,ci_low,ci_high,covered,test_start
P. falciparum,model6,15009,Salgado,PA,2012,1,109,251888,12.307057104744967,0.22701514594378988,12.080041958801177,0,2.779012894619831,FALSE,109
P. falciparum,model6,15009,Salgado,PA,2012,2,110,251888,2.779012894619831,0.1709470269175492,2.608065867702282,0,2.193435177539215,FALSE,109
P. falciparum,model6,15009,Salgado,PA,2012,3,111,251888,1.588007368354189,0.15342615362498635,1.4345812147292027,0,1.9850092104427364,TRUE,109
P. falciparum,model6,15010,Bragantina,PA,2012,1,109,390863,0,0.18377856947202506,-0.18377856947202506,0,2.0467529543599676,TRUE,109
P. falciparum,model6,15010,Bragantina,PA,2012,2,110,390863,0.25584411929499595,0.15797945113939865,0.0978646681555973,0,1.5350647157699757,TRUE,109
P. falciparum,model6,15010,Bragantina,PA,2012,3,111,390863,0,0.1661527266058547,-0.1661527266058547,0,1.6693828783998428,TRUE,109
P. falciparum,model6,15011,Cametá,PA,2012,1,109,449907,22.226815764146814,4.685618946360281,17.541196817786535,0.6668044729244044,39.01361837001869,TRUE,109
P. falciparum,model6,15011,Cametá,PA,2012,2,110,449907,15.336502877261301,4.50619539341845,10.830307483842851,0.6668044729244044,41.46968151195691,TRUE,109
P. falciparum,model6,15011,Cametá,PA,2012,3,111,449907,18.003720768958917,3.8722608205105438,14.131459948448374,0.4445363152829362,25.34968337900943,TRUE,109
P. falciparum,model6,15012,Tomé-Açu,PA,2012,1,109,299079,17.386710534674783,5.418344022958423,11.968366511716361,0.6687196359490302,40.541127929409875,TRUE,109
P. falciparum,model6,15012,Tomé-Açu,PA,2012,2,110,299079,4.346677633668696,3.7096843960441097,0.6369932376245862,0,27.09986324683443,TRUE,109
P. falciparum,model6,15012,Tomé-Açu,PA,2012,3,111,299079,6.6871963594903026,3.252541724834361,3.4346546346559417,0,24.91816543455073,TRUE,109
P. falciparum,model6,15013,Guamá,PA,2012,1,109,441719,3.62221231144687,3.1448798274396577,0.4773324840072122,0.33392269746150866,25.14041732413592,TRUE,109
P. falciparum,model6,15013,Guamá,PA,2012,2,110,441719,1.131941347327147,3.0956525833327646,-1.9637112360056177,0.560310966926938,25.400763834021134,TRUE,109
P. falciparum,model6,15013,Guamá,PA,2012,3,111,441719,2.263882694654294,3.14857191224775,-0.884689217593456,0.45277653893085873,27.200550576271308,TRUE,109
P. falciparum,model6,15014,Itaituba,PA,2012,1,109,213017,300.91495044996407,168.44873483179646,132.4662156181676,57.27242426660782,1174.2372674481367,TRUE,109
P. falciparum,model6,15014,Itaituba,PA,2012,2,110,213017,269.93150781393035,146.55376093581884,123.37774687811151,55.124708356610036,1027.0541787744637,TRUE,109
P. falciparum,model6,15014,Itaituba,PA,2012,3,111,213017,193.4117934249379,145.4121164329899,47.99967699194801,49.26836825229911,1030.1055784280118,TRUE,109
P. falciparum,model6,15015,Altamira,PA,2012,1,109,281058,27.752278889054928,20.19826554133746,7.5540133477174685,6.048573604024792,181.44831315956122,TRUE,109
P. falciparum,model6,15015,Altamira,PA,2012,2,110,281058,24.905891310690322,16.046078817992097,8.859812492698225,3.202186025660184,141.8390510143812,TRUE,109
P. falciparum,model6,15015,Altamira,PA,2012,3,111,281058,11.029751866162856,12.729312675236821,-1.6995608090739651,3.0153918408300067,102.50553266585541,TRUE,109
P. falciparum,model6,15016,Tucuruí,PA,2012,1,109,340793,13.791363085509387,18.366534332809046,-4.575171247299659,4.54087965421825,126.77783874668786,TRUE,109
P. falciparum,model6,15016,Tucuruí,PA,2012,2,110,340793,15.258529371201874,13.997889425385862,1.2606399458160116,3.36714662566426,104.16880628416664,TRUE,109
P. falciparum,model6,15016,Tucuruí,PA,2012,3,111,340793,9.389864228431922,11.04390569176204,-1.6540414633301186,3.0737133685257616,96.1067275442864,TRUE,109
P. falciparum,model6,15017,Paragominas,PA,2012,1,109,306994,21.498791507325876,14.876486833193429,6.622304674132447,3.0863795383623134,114.71722574382541,TRUE,109
P. falciparum,model6,15017,Paragominas,PA,2012,2,110,306994,14.984006202075612,13.255967297380009,1.7280389046956035,3.241105689362008,101.8505247659563,TRUE,109
P. falciparum,model6,15017,Paragominas,PA,2012,3,111,306994,8.469220896825345,11.834302937849321,-3.3650820410239763,3.2573926526251324,87.6564362821423,TRUE,109
P. falciparum,model6,15018,São Félix do Xingu,PA,2012,1,109,177935,0,0.7240927778583083,-0.7240927778583083,0,7.601090285778502,TRUE,109
P. falciparum,model6,15018,São Félix do Xingu,PA,2012,2,110,177935,0.5620029786157866,0.6529528871520844,-0.09094990853629781,0,7.8680417006210135,TRUE,109
P. falciparum,model6,15018,São Félix do Xingu,PA,2012,3,111,177935,0,0.6241854034155011,-0.6241854034155011,0,6.74403574338944,TRUE,109
