cod_micro_res,nome_micro_res,ano,mes,difs_bell,difs_nbinomial,difs_poisson,new_difs,type,metric
11001,Porto Velho,2005,12,0.01673117355600162,0.8793000518724197,0.00246756174920292,0.00246756174920292,Falciparum,Ordinary Error
11001,Porto Velho,2006,1,0.01468174399039634,0.7026888811669849,0.00221881012365887,0.00221881012365887,Falciparum,Ordinary Error
11001,Porto Velho,2006,2,0.01162348257503653,0.35948172134584166,0.00190907561153075,0.00190907561153075,Falciparum,Ordinary Error
11001,Porto Velho,2006,3,0.0138442639286469,0.5311539102532843,0.00217187586837241,0.00217187586837241,Falciparum,Ordinary Error
11001,Porto Velho,2006,4,0.01565617784198081,0.6719186590574191,0.0023778510977781,0.0023778510977781,Falciparum,Ordinary Error
11001,Porto Velho,2006,5,0.01312020473635833,0.4742304767696348,0.00210184883636088,0.00210184883636088,Falciparum,Ordinary Error
11001,Porto Velho,2006,6,0.01137060549174817,0.34153934773918015,0.00189565423658777,0.00189565423658777,Falciparum,Ordinary Error
11001,Porto Velho,2006,7,0.01459948457057969,0.7009527973219394,0.00222283867807515,0.00222283867807515,Falciparum,Ordinary Error
11001,Porto Velho,2006,8,0.01390659930812932,0.6433393687495779,0.00212818801764136,0.00212818801764136,Falciparum,Ordinary Error
11001,Porto Velho,2006,9,0.00956932157640189,0.2025377469860603,0.00163406167916968,0.00163406167916968,Falciparum,Ordinary Error
11001,Porto Velho,2006,10,0.01351327876251362,0.5394899222538772,0.00207700027607837,0.00207700027607837,Falciparum,Ordinary Error
11001,Porto Velho,2006,11,0.01980915275892014,1.268383798224325,0.00279196169351347,0.00279196169351347,Falciparum,Ordinary Error
11001,Porto Velho,2006,12,0.01692005333088486,0.8489264137752783,0.00250787559869758,0.00250787559869758,Falciparum,Ordinary Error
